Condition	Generation	TrueConvexity	RandomConvexity	MaxConvexity	Corrected
c	1	0.253061	0.107215	0.382185	0.530406
c	2	0.311558	0.131867	0.462062	0.544196
c	2	0.322106	0.131981	0.441898	0.613472
c	3	0.379282	0.132189	0.482002	0.706358
c	3	0.393039	0.131868	0.491303	0.726616
c	4	0.451607	0.166731	0.597214	0.661759
c	4	0.478694	0.166890	0.539210	0.837465
c	5	0.432139	0.166864	0.552028	0.688733
c	5	0.435491	0.166482	0.509177	0.784981
c	1	0.102530	0.032828	0.171825	0.501461
c	1	0.080673	0.038499	0.186293	0.285357
c	2	0.251003	0.074163	0.356404	0.626556
c	2	0.095089	0.032667	0.171825	0.448568
c	3	0.052949	0.038465	0.186880	0.097588
c	3	0.167639	0.062423	0.280903	0.481582
c	4	0.225733	0.074033	0.300656	0.669394
c	4	0.133333	0.045214	0.205787	0.548780
c	5	0.208819	0.062391	0.277917	0.679401
c	5	0.188986	0.062478	0.290153	0.555653
c	1	0.105000	0.027717	0.147083	0.647443
c	1	0.078611	0.027807	0.150046	0.415614
c	2	0.227778	0.088702	0.340079	0.553255
c	2	0.135043	0.038529	0.186880	0.650575
c	3	0.253924	0.088534	0.367483	0.592904
c	3	0.244010	0.088404	0.405035	0.491445
c	4	0.231975	0.074145	0.310586	0.667524
c	4	0.190679	0.074094	0.338225	0.441391
c	5	0.275347	0.088508	0.402431	0.595177
c	5	0.255330	0.088691	0.362760	0.608018
